@relation Mood_sharing

@attribute usedName string
@attribute following numeric
@attribute follower numeric
@attribute numOfTweets numeric
@attribute mentionScore numeric
@attribute hashtagScore numeric
@attribute numOfArticleShared numeric
@attribute numOfArticleSharedDist numeric
@attribute numOfFavorities numeric
@attribute numOfList numeric
@attribute upbeat numeric
@attribute worried numeric
@attribute angry numeric
@attribute depress numeric
@attribute plugedIn numeric
@attribute personable numeric
@attribute distant numeric
@attribute spacy numeric
@attribute analytic numeric
@attribute sensory numeric
@attribute inTheMoment numeric
@attribute openness numeric
@attribute consciousness numeric
@attribute extraversion numeric
@attribute agreeableness numeric
@attribute neuroticism numeric
@attribute avglikes numeric
@attribute mood_indignant numeric
@attribute mood_disappointed numeric
@attribute mood_worried numeric
@attribute mood_amused numeric
@attribute mood_satisfied numeric
@data
domeniconaso,2586,9258,62600,0.013565319964612209,0.0920082571512828,10,0.04237,27200,0,15,40,17,43,32,12,58,41,13,34,34,0.251,0.11452499999999995,0.14333333333333334,0.1245,0.08535714285714288,3.1209632262405336,0.34,0.04,0.12,0.16,0.34
giudittasborgi,156,57,297,0.009983361064891847,0.11702717692734331,4,0.02326,54,0,11,51,32,45,51,11,77,59,9,18,39,0.23099999999999996,0.1232083333333336,0.1375,0.12349999999999998,0.12500000000000014,3.239674593241552,0.79,0.07,0.07,0.06,0.01
LelloForlini,1999,994,44200,0.014511041009463722,0.012618296529968454,48,0.21818,18,1,12,75,16,46,14,13,43,91,8,14,38,0.26899999999999996,0.16114999999999968,0.14194444444444446,0.1520000000000001,0.11196428571428578,2.0742812219780022,0.33,0.09,0.07,0.08,0.43
AlbertOne,400,217,3654,0.01969057665260197,0.0028129395218002813,70,0.47945,2387,0,11,38,25,51,22,9,49,29,8,16,40,0.2380000000000001,0.15059999999999976,0.15416666666666662,0.11799999999999994,0.10107142857142862,4.939659324993135,0.32,0.15,0.03,0.09,0.4
claudiogiudici,162,255,858,0.006014032743067156,0.01971266288005346,7,0.03465,50,0,15,59,29,40,36,16,63,50,11,14,38,0.21600000000000005,0.13013333333333346,0.14583333333333348,0.14149999999999996,0.09607142857142857,1.2527322404371586,0.39,0.01,0.03,0.03,0.55
OlandeseRoma,482,1013,5828,0.01932367149758454,0.09178743961352658,7,0.04605,30,0,18,36,31,47,41,10,65,61,12,25,39,0.19399999999999998,0.16619999999999946,0.1783333333333333,0.17800000000000002,0.13517857142857168,0.7005360623781676,0.55,0.17,0.02,0.14,0.12
voinin,1997,1428,22900,0.02103642893791688,0.1375064135454079,18,0.10778,5873,2,12,41,18,43,39,11,67,41,16,21,41,0.228,0.14579999999999982,0.15000000000000002,0.175,0.11892857142857147,4.028731820623964,0.42,0.17,0.04,0.03,0.35
CaputoMarisa,142,50,4203,0.0,0.003015941404566997,43,0.18298,0,0,10,30,18,50,13,8,35,68,8,10,41,0.20899999999999988,0.1197000000000001,0.15916666666666668,0.14849999999999988,0.07250000000000009,2.658324420399676,0.47,0.05,0.08,0.07,0.33
Atlanticus81,115,338,5357,0.0,0.0,28,0.11382,4,0,11,24,18,46,13,7,57,76,10,18,39,0.22999999999999995,0.11930000000000023,0.13333333333333328,0.1290000000000001,0.10124999999999994,2.0707619028611552,0.42,0.1,0.08,0.08,0.32
dariajanik,327,241,1908,0.03814262023217247,0.004975124378109453,6,0.03974,37,0,8,31,19,55,27,6,61,25,8,20,39,0.2740000000000001,0.1623999999999998,0.17027777777777778,0.14433333333333329,0.1171428571428571,2.6264354279261113,0.36,0.02,0.08,0.06,0.48
